Subject,Predicate,Object,Good,Source Text,Alignment
Radar system detects flight,hasStakeholder,ATC,1,The radar system is able to detect a flight based upon the assigned SSR code when the flight crosses a defined FIR/ATC boundary.,AlignmentStatus.MATCH_EXACT
Information available from ACC/Approach Control,hasStakeholder,ATC,1,This information is normally available from the Area Control Centre (ACC) or Approach Control Unit that is associated with an airport.,AlignmentStatus.MATCH_FUZZY
ELDT is updated,hasStakeholder,ACISP,1,"Effect Update of the ELDT can trigger a new TOBT to be entered by the AO/GH, or calculated automatically by the Airport CDM Platform.",AlignmentStatus.MATCH_EXACT
AO/GH enters new TOBT,hasStakeholder,AO/GH,1,Update of the ELDT can trigger a new TOBT to be entered by the AO/GH,AlignmentStatus.MATCH_FUZZY
Airport CDM Platform calculates new TOBT,hasStakeholder,ACISP,1,or calculated automatically by the Airport CDM Platform.,AlignmentStatus.MATCH_FUZZY
EIBT computation,hasStakeholder,ACISP,1,An estimated in-block time (EIBT) is computed using the ELDT and the estimated taxi-in time.,AlignmentStatus.MATCH_FUZZY
Turn-round and passenger decisions made,hasStakeholder,AO/GH,0,"Decisions such as the turn-round period, connecting passengers etc are taken and need to be stable at this event.",AlignmentStatus.MATCH_EXACT
TOBT update for departing flight,hasStakeholder,AO/GH,1,The update of TOBT for the related departing flight takes place following this milestone.,AlignmentStatus.MATCH_LESSER
TOBT process commenced,hasStakeholder,AO/GH,1,Procedures To commence the TOBT process and check whether the AO/GH TOBT is consistent with the ATC Flight Plan.,AlignmentStatus.MATCH_EXACT
AO/GH TOBT consistency check with ATC Flight Plan,hasStakeholder,AO/GH,1,Procedures To commence the TOBT process and check whether the AO/GH TOBT is consistent with the ATC Flight Plan.,AlignmentStatus.MATCH_FUZZY
Network Operations informed of TTOT changes,hasStakeholder,Network_Operations,1,Network Operations is informed when the TTOT changes by more than the agreed TTOT tolerance.,AlignmentStatus.MATCH_EXACT
Flight enters FIR/local airspace,hasNext,Radar system detects flight,1,Definition The flight enters the FIR (Flight Information Region) or the local airspace of the destination airport.,AlignmentStatus.MATCH_LESSER
Radar system detects flight,hasNext,Information available from ACC/Approach Control,1,The radar system is able to detect a flight based upon the assigned SSR code when the flight crosses a defined FIR/ATC boundary.,AlignmentStatus.MATCH_FUZZY
