Subject,Predicate,Object,Good,Source Text,Alignment
Outstation provides ATOT,hasStakeholder,Airport,1,Origin and priority The outstation provides ATOT to the Network Operations and Aircraft Operator.,AlignmentStatus.MATCH_EXACT
Network Operations receives ATOT,hasStakeholder,Network_Operations,1,Origin and priority The outstation provides ATOT to the Network Operations and Aircraft Operator.,AlignmentStatus.MATCH_FUZZY
Aircraft Operator receives ATOT,hasStakeholder,Airline,1,Origin and priority The outstation provides ATOT to the Network Operations and Aircraft Operator.,AlignmentStatus.MATCH_FUZZY
ATOT received from Network Operations FUM (long flight),hasStakeholder,Network_Operations,1,Effect If the departure airport is more than 3hrs flying time from the destination airport the ATOT is received from either the Network Operations FUM or via the Aircraft Operator / Ground Handler.,AlignmentStatus.MATCH_EXACT
ATOT received via AO/GH (long flight),hasStakeholder,AO/GH,1,Effect If the departure airport is more than 3hrs flying time from the destination airport the ATOT is received from either the Network Operations FUM or via the Aircraft Operator / Ground Handler.,AlignmentStatus.MATCH_FUZZY
ELDT calculated (long flight),hasStakeholder,ACISP,1,Using the ATOT an ELDT can be calculated by using the Estimated Elapsed Time on the FPL.,AlignmentStatus.MATCH_EXACT
Network Operations monitors flight progress (short flight),hasStakeholder,Network_Operations,1,If the flight is within 3hrs flying time of the destination airport the Network Operations monitors progress of the flight using the ETFMS and send a Flight Update Message (FUM) that provides updates of the flight’s progress.,AlignmentStatus.MATCH_LESSER
Network Operations sends FUM (short flight),hasStakeholder,Network_Operations,1,If the flight is within 3hrs flying time of the destination airport the Network Operations monitors progress of the flight using the ETFMS and send a Flight Update Message (FUM) that provides updates of the flight’s progress.,AlignmentStatus.MATCH_FUZZY
Outstation provides ATOT,hasNext,Network Operations receives ATOT,1,Origin and priority The outstation provides ATOT to the Network Operations and Aircraft Operator.,AlignmentStatus.MATCH_FUZZY
Outstation provides ATOT,hasNext,Aircraft Operator receives ATOT,1,Origin and priority The outstation provides ATOT to the Network Operations and Aircraft Operator.,AlignmentStatus.MATCH_FUZZY
Network Operations receives ATOT,hasNext,ATOT received from Network Operations FUM (long flight),1,Effect If the departure airport is more than 3hrs flying time from the destination airport the ATOT is received from either the Network Operations FUM or via the Aircraft Operator / Ground Handler.,AlignmentStatus.MATCH_FUZZY
