Subject,Predicate,Object,Good,Source Text,Alignment
Aircraft becomes ready (ARDT),hasStakeholder,AO/GH,1,"Definition The time when all doors are closed, boarding bridge removed, push back vehicle connected, ready to taxi immediately upon reception of TWR instructions (ARDT).",AlignmentStatus.MATCH_LESSER
AO/GH provides ARDT,hasStakeholder,AO/GH,1,Origin and priority Provided by the Aircraft Operator/ Ground Handler.,AlignmentStatus.MATCH_EXACT
ACISP receives and updates ARDT,hasStakeholder,ACISP,1,First step: To inform all relevant Airport CDM Partners of Actual Ready Time (ARDT) in the Airport CDM Platform and that the aircraft is ready for start up / push-back.,AlignmentStatus.MATCH_EXACT
ATC refines pre-departure sequence,hasStakeholder,ATC,1,"Effect ATC refines the pre-departure sequence. The pilot requests start up just before TSAT, following coordination with the Ground Handler. (Dispatcher / Supervisor / Redcap).",AlignmentStatus.MATCH_FUZZY
Pilot requests start up,hasStakeholder,Airline,1,"Effect ATC refines the pre-departure sequence. The pilot requests start up just before TSAT, following coordination with the Ground Handler. (Dispatcher / Supervisor / Redcap).",AlignmentStatus.MATCH_FUZZY
Pilot coordinates with Ground Handler,hasStakeholder,AO/GH,1,"Effect ATC refines the pre-departure sequence. The pilot requests start up just before TSAT, following coordination with the Ground Handler. (Dispatcher / Supervisor / Redcap).",AlignmentStatus.MATCH_FUZZY
ACISP checks for missing ARDT,hasStakeholder,ACISP,1,Second step: To inform the AO/GH that TOBT has passed and the Airport CDM Platform has not yet received ARDT or Ready Status (RDY).,AlignmentStatus.MATCH_EXACT
ACISP informs AO/GH of missing ARDT,hasStakeholder,ACISP,1,Second step: To inform the AO/GH that TOBT has passed and the Airport CDM Platform has not yet received ARDT or Ready Status (RDY).,AlignmentStatus.MATCH_FUZZY
Aircraft becomes ready (ARDT),hasNext,AO/GH provides ARDT,1,"Definition The time when all doors are closed, boarding bridge removed, push back vehicle connected, ready to taxi immediately upon reception of TWR instructions (ARDT).",AlignmentStatus.MATCH_FUZZY
AO/GH provides ARDT,hasNext,ACISP receives and updates ARDT,1,Origin and priority Provided by the Aircraft Operator/ Ground Handler.,AlignmentStatus.MATCH_FUZZY
ACISP receives and updates ARDT,hasNext,ATC refines pre-departure sequence,1,First step: To inform all relevant Airport CDM Partners of Actual Ready Time (ARDT) in the Airport CDM Platform and that the aircraft is ready for start up / push-back.,AlignmentStatus.MATCH_FUZZY
ATC refines pre-departure sequence,hasNext,Pilot requests start up,1,"Effect ATC refines the pre-departure sequence. The pilot requests start up just before TSAT, following coordination with the Ground Handler. (Dispatcher / Supervisor / Redcap).",AlignmentStatus.MATCH_FUZZY
Pilot requests start up,hasNext,Pilot coordinates with Ground Handler,0,"Effect ATC refines the pre-departure sequence. The pilot requests start up just before TSAT, following coordination with the Ground Handler. (Dispatcher / Supervisor / Redcap).",AlignmentStatus.MATCH_FUZZY
ACISP checks for missing ARDT,hasNext,ACISP informs AO/GH of missing ARDT,1,Second step: To inform the AO/GH that TOBT has passed and the Airport CDM Platform has not yet received ARDT or Ready Status (RDY).,AlignmentStatus.MATCH_FUZZY
Input to Airport CDM Platform,hasStakeholder,ACISP,1,This procedure is triggered by n an input to the Airport CDM Platform.,AlignmentStatus.MATCH_FUZZY
Input to Airport CDM Platform,hasStakeholder,AO/GH,1,This procedure is triggered by n an input to the Airport CDM Platform.,AlignmentStatus.MATCH_FUZZY
AO/GH informs of ARDT/RDY,hasStakeholder,AO/GH,1,Inform of ARDT or RDY confirming that the flight follows the indicated TOBT.,AlignmentStatus.MATCH_EXACT
Operational Status changes to READY,hasStakeholder,ACISP,1,Operational Status (changes to) READY,AlignmentStatus.MATCH_FUZZY
ACISP monitors for ready status by TOBT + tolerance,hasStakeholder,ACISP,1,At TOBT + tolerance the AO/GH are informed that TOBT has passed and there has not been a ready status message yet.,AlignmentStatus.MATCH_EXACT
ACISP informs AO/GH of TOBT passed without ready status,hasStakeholder,ACISP,1,At TOBT + tolerance the AO/GH are informed that TOBT has passed and there has not been a ready status message yet.,AlignmentStatus.MATCH_FUZZY
ACISP informs AO/GH of TOBT passed without ready status,hasStakeholder,AO/GH,1,At TOBT + tolerance the AO/GH are informed that TOBT has passed and there has not been a ready status message yet.,AlignmentStatus.MATCH_FUZZY
Input to Airport CDM Platform,hasNext,AO/GH informs of ARDT/RDY,1,This procedure is triggered by n an input to the Airport CDM Platform.,AlignmentStatus.MATCH_EXACT
Input to Airport CDM Platform,hasNext,ACISP monitors for ready status by TOBT + tolerance,1,This procedure is triggered by n an input to the Airport CDM Platform.,AlignmentStatus.MATCH_FUZZY
AO/GH informs of ARDT/RDY,hasNext,Operational Status changes to READY,1,Inform of ARDT or RDY confirming that the flight follows the indicated TOBT.,AlignmentStatus.MATCH_FUZZY
ACISP monitors for ready status by TOBT + tolerance,hasNext,ACISP informs AO/GH of TOBT passed without ready status,1,At TOBT + tolerance the AO/GH are informed that TOBT has passed and there has not been a ready status message yet.,AlignmentStatus.MATCH_FUZZY
