Subject,Predicate,Object,Good,Source Text,Alignment
Flight enters Final Approach,hasStakeholder,ATC,1,Definition The flight enters the Final Approach phase at the destination airport.,AlignmentStatus.MATCH_EXACT
ATC detects flight on radar,hasStakeholder,ATC,1,Origin and priority This information is normally available from ATC. The radar system detects a flight based upon the assigned SSR code and identifies when the flight crosses either a defined range / position or passes/leaves a predetermined level.,AlignmentStatus.MATCH_EXACT
Flight identified by SSR code,hasStakeholder,ATC,1,Origin and priority This information is normally available from ATC. The radar system detects a flight based upon the assigned SSR code and identifies when the flight crosses either a defined range / position or passes/leaves a predetermined level.,AlignmentStatus.MATCH_FUZZY
Flight crosses defined range/position or level,hasStakeholder,ATC,1,Origin and priority This information is normally available from ATC. The radar system detects a flight based upon the assigned SSR code and identifies when the flight crosses either a defined range / position or passes/leaves a predetermined level.,AlignmentStatus.MATCH_FUZZY
Local parameters defined for timing,hasStakeholder,ATC,1,Timing Dependent upon local parameters that are defined by ATC.,AlignmentStatus.MATCH_EXACT
ELDT updated to determine new TOBT,hasStakeholder,ACISP,1,Effect Update of the ELDT to determine a new TOBT.,AlignmentStatus.MATCH_FUZZY
Partners start moving resources,hasStakeholder,AO/GH,1,"This is often the prompt for many partners to start moving resources connected with the flight, such as positioning a parking marshal and ground handling services.",AlignmentStatus.MATCH_FUZZY
Positioning parking marshal,hasStakeholder,AO/GH,1,such as positioning a parking marshal,AlignmentStatus.MATCH_FUZZY
Initiating ground handling services,hasStakeholder,AO/GH,1,and ground handling services.,AlignmentStatus.MATCH_FUZZY
Commence TOBT process,hasStakeholder,AO/GH,1,Procedures To commence the TOBT process,AlignmentStatus.MATCH_FUZZY
Check AO/GH TOBT consistency with ATC Flight Plan,hasStakeholder,AO/GH,1,and check whether the AO/GH TOBT is consistent with the ATC Flight Plan.,AlignmentStatus.MATCH_FUZZY
Flight enters Final Approach,hasNext,ATC detects flight on radar,1,Definition The flight enters the Final Approach phase at the destination airport.,AlignmentStatus.MATCH_FUZZY
ATC detects flight on radar,hasNext,Flight identified by SSR code,1,Origin and priority This information is normally available from ATC. The radar system detects a flight based upon the assigned SSR code and identifies when the flight crosses either a defined range / position or passes/leaves a predetermined level.,AlignmentStatus.MATCH_FUZZY
Flight identified by SSR code,hasNext,Flight crosses defined range/position or level,1,Origin and priority This information is normally available from ATC. The radar system detects a flight based upon the assigned SSR code and identifies when the flight crosses either a defined range / position or passes/leaves a predetermined level.,AlignmentStatus.MATCH_FUZZY
Flight crosses defined range/position or level,hasNext,ELDT updated to determine new TOBT,1,Origin and priority This information is normally available from ATC. The radar system detects a flight based upon the assigned SSR code and identifies when the flight crosses either a defined range / position or passes/leaves a predetermined level.,AlignmentStatus.MATCH_FUZZY
ELDT updated to determine new TOBT,hasNext,Commence TOBT process,1,"Effect Update of the ELDT to determine a new TOBT. When a flight reaches this stage it is usu-ally between 2 and 5 minutes from landing (depending on the parameter set by ATC). This is often the prompt for many partners to start moving resources connected with the flight, such as positioning a parking marshal and ground handling services.",AlignmentStatus.MATCH_EXACT
ELDT updated to determine new TOBT,hasNext,Partners start moving resources,0,"Effect Update of the ELDT to determine a new TOBT. When a flight reaches this stage it is usu-ally between 2 and 5 minutes from landing (depending on the parameter set by ATC). This is often the prompt for many partners to start moving resources connected with the flight, such as positioning a parking marshal and ground handling services.",AlignmentStatus.MATCH_FUZZY
Commence TOBT process,hasNext,Check AO/GH TOBT consistency with ATC Flight Plan,1,Procedures To commence the TOBT process and check whether the AO/GH TOBT is consistent with the ATC Flight Plan.,AlignmentStatus.MATCH_EXACT
Partners start moving resources,hasNext,Positioning parking marshal,1,"This is often the prompt for many partners to start moving resources connected with the flight, such as positioning a parking marshal and ground handling services.",AlignmentStatus.MATCH_FUZZY
Partners start moving resources,hasNext,Initiating ground handling services,1,"This is often the prompt for many partners to start moving resources connected with the flight, such as positioning a parking marshal and ground handling services.",AlignmentStatus.MATCH_FUZZY
Network Operations informed of TTOT change,hasStakeholder,Network_Operations,1,Network Operations is informed when the TTOT changes by more than the agreed TTOT tolerance.,AlignmentStatus.MATCH_EXACT
Verify ATC Flight Plan feasibility,hasStakeholder,ACISP,1,This check shall be performed to verify feasibility of the ATC Flight Plan given the updated TOBT.,AlignmentStatus.MATCH_LESSER
TTOT tolerance check performed,hasStakeholder,ACISP,1,The TTOT tolerance is respected before Network Operations is informed of updated TTOT.,AlignmentStatus.MATCH_EXACT
Flight detected by radar,hasStakeholder,ATC,1,"This process is triggered by n the detection of the flight by radar in either FIR, TMA, or on Final Approach.",AlignmentStatus.MATCH_EXACT
Operational status changes to FINAL,hasStakeholder,ACISP,1,Operational Status (changes to) FINAL,AlignmentStatus.MATCH_EXACT
"ELDT, EIBT, TOBT, TTOT updated in ACISP",hasStakeholder,ACISP,1,"Action on CDM Operation (ACISP) ELDT, EIBT, TOBT and TTOT updated",AlignmentStatus.MATCH_EXACT
Flight detected by radar,hasNext,Operational status changes to FINAL,1,"This process is triggered by n the detection of the flight by radar in either FIR, TMA, or on Final Approach.",AlignmentStatus.MATCH_FUZZY
Flight detected by radar,hasNext,"ELDT, EIBT, TOBT, TTOT updated in ACISP",0,"This process is triggered by n the detection of the flight by radar in either FIR, TMA, or on Final Approach.",AlignmentStatus.MATCH_FUZZY
"ELDT, EIBT, TOBT, TTOT updated in ACISP",hasNext,Verify ATC Flight Plan feasibility,0,"Action on CDM Operation (ACISP) ELDT, EIBT, TOBT and TTOT updated",AlignmentStatus.MATCH_FUZZY
"ELDT, EIBT, TOBT, TTOT updated in ACISP",hasNext,TTOT tolerance check performed,0,"Action on CDM Operation (ACISP) ELDT, EIBT, TOBT and TTOT updated",AlignmentStatus.MATCH_FUZZY
Verify ATC Flight Plan feasibility,hasNext,Network Operations informed of TTOT change,1,This check shall be performed to verify feasibility of the ATC Flight Plan given the updated TOBT.,AlignmentStatus.MATCH_FUZZY
TTOT tolerance check performed,hasNext,Network Operations informed of TTOT change,1,The TTOT tolerance is respected before Network Operations is informed of updated TTOT.,AlignmentStatus.MATCH_FUZZY
