Subject,Predicate,Object,Good,Source Text,Alignment
Aircraft pushes back/vacates parking position,hasStakeholder,ATC,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_EXACT
Aircraft pushes back/vacates parking position,hasStakeholder,Airport,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_FUZZY
ACARS OUT message sent,hasStakeholder,Airline,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_FUZZY
AOBT information captured by automated docking systems,hasStakeholder,Airport,1,Origin and priority ACARS equipped aircraft or automated docking systems or ATC systems (e.g. A-SMGCS) or by manual input.,AlignmentStatus.MATCH_EXACT
AOBT information captured by ATC systems,hasStakeholder,ATC,1,Origin and priority ACARS equipped aircraft or automated docking systems or ATC systems (e.g. A-SMGCS) or by manual input.,AlignmentStatus.MATCH_FUZZY
AOBT information captured by manual input,hasStakeholder,AO/GH,1,Origin and priority ACARS equipped aircraft or automated docking systems or ATC systems (e.g. A-SMGCS) or by manual input.,AlignmentStatus.MATCH_FUZZY
TTOT updated considering EXOT,hasStakeholder,ACISP,1,Effect TTOT updated considering the EXOT.,AlignmentStatus.MATCH_EXACT
Inform CDM Partners of AOBT in ACISP,hasStakeholder,ACISP,1,Procedures First step: To inform all relevant Airport CDM Partners of Actual Off-Block Time (AOBT) in the Airport CDM Platform and that the aircraft has commenced push-back / taxi from parking position.,AlignmentStatus.MATCH_EXACT
Check TTOT change tolerance,hasStakeholder,ACISP,1,Second step: To check if TTOT changes by more than the agreed tolerance and inform Network Operations.,AlignmentStatus.MATCH_EXACT
Inform Network Operations of TTOT change,hasStakeholder,ACISP,1,Second step: To check if TTOT changes by more than the agreed tolerance and inform Network Operations.,AlignmentStatus.MATCH_FUZZY
Inform Network Operations of TTOT change,hasStakeholder,Network_Operations,1,Second step: To check if TTOT changes by more than the agreed tolerance and inform Network Operations.,AlignmentStatus.MATCH_FUZZY
AOBT triggers A-DPI message,hasStakeholder,ACISP,1,AOBT always triggers an A-DPI message to Network Operations or in the case of remote holding at a defined time prior to TTOT.,AlignmentStatus.MATCH_EXACT
AOBT triggers A-DPI message,hasStakeholder,Network_Operations,1,AOBT always triggers an A-DPI message to Network Operations or in the case of remote holding at a defined time prior to TTOT.,AlignmentStatus.MATCH_FUZZY
Aircraft pushes back/vacates parking position,hasNext,TTOT updated considering EXOT,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_FUZZY
Aircraft pushes back/vacates parking position,hasNext,Inform CDM Partners of AOBT in ACISP,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_FUZZY
Aircraft pushes back/vacates parking position,hasNext,AOBT triggers A-DPI message,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_FUZZY
ACARS OUT message sent,hasNext,TTOT updated considering EXOT,1,Definition AOBT – Actual Off-Block Time. The time the aircraft pushes back/vacates the parking position (Equivalent to Airline/Handler ATD – Actual Time of Departure ACARS=OUT).,AlignmentStatus.MATCH_FUZZY
